2026-06-04 17:23:50,732 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:51,592 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:51,653 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:52,497 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:52,545 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:53,413 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:53,457 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:54,300 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:54,342 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:55,195 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:55,254 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:56,085 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:56,125 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:56,965 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:57,002 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:57,854 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:57,905 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:58,745 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:58,784 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:23:59,626 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:23:59,663 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:00,503 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:00,539 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:01,375 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:01,422 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:02,260 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:02,302 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:03,141 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:03,191 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:04,029 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:04,067 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:04,907 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:04,946 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:05,795 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:05,834 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:06,673 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
